Gene,MCF10A_1percent,MCF10A_20percent,MCF12A_1percent,MCF12A_20percent
NAPSA,4,0,1,1.999998
NARF,515.829373,111.8717991,459.57721,531.63289
NARFL,220.296263,105.19369,128.68868,528.89779
NARS,864.00068,516.00023,296.00019,2268.002664
NARS2,181.9997,103.99984,23.9999978,226.99947
NASP,708.01407,444.38816,340.32878,1147.14486
NAT1,12,17.9999889,1,12.99996
NAT10,807.2165901,361.0003263,158.9995577,1375.99909
NAT14,254.000263,80.99996,88.99994,253.00023
NAT16,0,0,1,0
NAT6,277.973583,54.89152,38.571954,122.18293
NAT8L,14,8,0,7
NAT9,140.00001,104.99995,78.99993,461.99994
NATD1,121.991,22.0132,72.2448,253.884
NAV1,1953.87084,195.00045,248.39001,761.00417
NAV2,4031.19346,458.0523194,683.0004392,1064.62931
NAV3,55.23766,15.000011,1.02209,7.018692063
NAXD,266.9996447,113.775,92.00000021,554.9257
NAXE,609.00039,417.9997,373.00037,1222.9986
NBAS,850.9999346,192.00045,421.999542,837.99974
NBDY,259.0003,86.99995,80.999979,205.0004
NBEA,44.0000269,7.0000065,0.99999952,9.784331
NBEAL1,323.3251,38.35717,34.906705,135.6296
NBEAL2,616.99997,234.99946,267.00013,1421.00408
NBEAP1,3,2,0,9.23901
NBL1,1636.7614,564.587,766.1329,1911.1439
NBN,465.9999791,183.0002,227.99966,1002.99984
NBPF1,524.88,102.82031,117.3349,306.87013
NBPF10,603.1552,72.356,86.6118,381.4026
NBPF11,170.80158,52.21627,25.3846,151.0163676
NBPF12,284.1082918,86.67945,74.2354,282.5214
NBPF14,1931.409053,280.6966306,228.61206,1250.578685
NBPF15,1129.570551,280.1398613,72.50756,605.1926
NBPF19,919.5356,82.63491,170.31567,726.1359
NBPF20,269.37643,71.21725311,29.29507,314.2416
NBPF26,197.67826,53.1971,9.00927,41.0726
NBPF3,201.14931,71.10363,9.85045,160.49654
NBPF8,438.945,138.803,14.9987,166.289
NBPF9,1014.669,277.3078,186.0738,885.053
NBR1,1956.00021,544.0004,743.96479,2448.43299
NCALD,47,22,11,24.1861
NCAM1,4.000001017,2,0,1
NCAM2,2,0,1,1
NCAPD2,2527.79706,877.3966844,1567.00071,3366.095217
NCAPD3,377.07931,257.00045,232.09986,676.04927
NCAPG,522.26093,179.65808,195.89348,500.078
NCAPG2,312.99991,181.00034,481.99968,573.99978
NCAPH,239.0002902,115.00003,144.00004,410.0000719
NCAPH2,252.0604,140.10541,111.3011361,351.99949
NCBP1,387.46315,199.00019,124.999728,883.83339
NCBP2,653.689381,295.63148,312.000501,1127.952684
NCBP2-AS2,114,96,38,394
NCBP3,354.17726,135.96797,185.93842,646.34541
NCCRP1,10.0179,3,21.9318,75.9726
NCDN,182.26422,130.00048,46.00001,715.00072
NCEH1,357.00012,96.99992013,245.0000341,366.99997
